TV,radio,newspaper,Actual_Sales,Predicted_Sales
163.3,31.6,52.9,16.9,16.408024203228628
195.4,47.7,52.9,22.4,20.889882087147885
292.9,28.3,43.2,21.4,21.553843179089558
11.7,36.9,45.2,7.3,10.6085025619849
220.3,49.0,3.2,24.7,22.112373259857662
75.1,35.0,52.7,12.6,13.105591724016454
216.8,43.9,27.2,22.3,21.057191916314647
50.0,11.6,18.4,8.4,7.461010344558369
222.4,3.4,13.1,11.5,13.60634580543393
175.1,22.5,31.5,14.9,15.155069668921398
31.5,24.6,2.2,9.5,9.048319924103865
56.2,5.7,29.7,8.7,6.653283124939039
234.5,3.4,84.8,11.9,14.345544865081424
5.4,29.9,9.4,5.3,8.903493328870406
139.5,2.1,26.6,10.3,9.689590280381115
170.2,7.8,35.2,11.7,12.16494385914241
7.3,28.1,41.4,5.5,8.736283973362841
197.6,23.3,14.2,16.6,16.265072577249363
75.3,20.3,32.5,11.3,10.277595820569246
237.4,27.5,11.0,18.9,18.83109103439628
229.5,32.3,74.2,19.7,19.560366533092832
67.8,36.6,114.0,12.5,13.251034642395638
38.0,40.3,11.9,10.9,12.336206948241493
250.9,36.5,72.3,22.2,21.306951317459145
69.0,9.3,0.9,9.3,7.827403050750988
53.5,2.0,21.4,8.1,5.809574478072964
213.5,43.0,33.8,21.7,20.757532314509962
139.3,14.5,10.2,13.4,11.981380774195218
87.2,11.8,25.9,10.6,9.183495762801746
8.4,27.2,2.1,5.7,8.506699100151758
199.8,2.6,21.2,10.6,12.466467693418515
69.2,20.5,18.3,11.3,10.003376951209537
198.9,49.4,60.0,23.7,21.38767090231054
16.9,43.7,89.4,8.7,12.249663675504417
280.7,13.9,37.0,16.1,18.26661537607972
238.2,34.3,5.3,20.7,20.137662665419217
48.3,47.0,8.5,11.6,14.055140052778944
273.7,28.9,59.7,20.8,20.85411186286339
117.2,14.7,5.4,11.9,11.0174441001449
27.5,1.6,20.7,6.9,4.568996222153632
