CustomerID,Age,AnnualIncome,SpendingScore
1,19,15,39
2,21,15,81
3,20,16,6
4,23,16,77
5,31,17,40
6,22,17,76
7,35,18,6
8,23,18,94
9,64,19,3
10,30,19,72
11,67,20,14
12,35,20,99
13,58,21,15
14,24,21,73
15,37,22,13
16,22,22,79
17,35,23,35
18,20,23,66
19,52,24,29
20,35,24,98
21,35,25,35
22,25,25,73
23,46,26,5
24,31,26,73
25,54,27,14
26,29,27,82
27,45,28,32
28,35,28,61
29,40,29,31
30,23,29,87
31,60,30,4
32,21,30,73
33,53,33,4
34,18,33,92
35,49,33,14
36,21,33,81
37,42,34,17
38,30,34,73
39,36,37,26
40,20,37,75
41,65,38,35
42,24,38,92
43,48,39,36
44,31,39,61
45,49,40,28
46,24,40,65
47,50,42,55
48,27,42,42
49,29,43,50
50,31,43,46
51,49,54,42
52,33,54,52
53,31,60,54
54,59,60,47
55,50,62,52
56,47,62,60
57,51,63,54
58,69,63,46
59,27,67,56
60,53,67,40
61,70,69,46
62,19,69,55
63,67,71,56
64,54,71,91
65,63,72,48
66,18,72,59
67,43,73,53
68,68,73,48
69,19,74,55
70,32,75,52
71,70,78,42
72,47,78,61
73,60,78,56
74,60,78,60
75,59,79,55
76,26,79,59
77,45,80,52
78,40,80,55
79,23,81,41
80,49,81,61
81,57,87,50
82,38,87,59
83,67,88,55
84,46,88,61
85,21,93,90
86,48,93,43
87,55,97,58
88,22,97,55
89,34,103,23
90,50,103,60
91,68,113,43
92,18,113,59
93,48,120,47
94,40,120,60
95,32,126,54
96,24,126,55
97,47,137,44
98,27,137,56
99,48,137,51
100,23,137,55
